Title, Year, ID
"(500) Days of Summer", 2009
"[REC]", 2007
"12", 2007
"12 Angry Men", 1957
"12 Years a Slave", 2013
"127 Hours", 2010
"13 Assassins", 2010
"13 Tzameti", 2005
"13th", 2016
"1900", 1976
"2 Days in Paris", 2007
"2 or 3 Things I Know About Her", 1967
"2001: A Space Odyssey", 1968
"2046", 2004
"20th Century Women", 2016
"21 Grams", 2003
"25th Hour", 2002
"28 Days Later", 2002
"3 Idiots", 2009
"3 Women", 1977
"3:10 to Yuma", 2007
"300", 2006
"35 Shots of Rum", 2009
"The 36th Chamber of Shaolin", 1978
"The 39 Steps", 1935
"3-Iron", 2004
"4 Months, 3 Weeks and 2 Days", 2007
"The 400 Blows", 1959
"42nd Street", 1933
"The 47 Ronin", 1941
"5 Centimeters Per Second", 2007
"50/50", 2011
"71 Fragments of a Chronology of Chance", 1994
"8½", 1963
"À Nos Amours", 1983
"À Nous La Liberté", 1931
"A.I. Artificial Intelligence", 2001
"Abbott and Costello Meet Frankenstein", 1948
"The Abominable Dr. Phibes", 1971
"About Elly", 2015
"About Schmidt", 2002
"About Time", 2013
"Abraham's Valley", 1993
"The Abyss", 1989
"Accattone", 1961
"The Accidental Tourist", 1988
"Ace in the Hole", 1951
"Ace Ventura: Pet Detective", 1994
"The Act of Killing", 2012
"Adam's Apples", 2005
"Adam's Rib", 1949
"Adaptation.", 2002
"The Addiction", 1995
"The Adventures of Prince Achmed", 1926
"The Adventures of Priscilla, Queen of the Desert", 1994
"The Adventures of Robin Hood", 1938
"Aelita: Queen of Mars", 1924
"The African Queen", 1951
"After Hours", 1985
"After Life", 1998
"After the Wedding", 2006
"The Age of the Earth", 1980
"The Age of Innocence", 1993
"Aguirre: The Wrath of God", 1972
"Aileen Wuornos: The Selling of a Serial Killer", 1992
"Aileen: Life and Death of a Serial Killer", 2003
"Air Force One", 1997
"Airlift", 2016
"Airplane!", 1980
"Akira", 1988
"Aladdin", 1992
"Alexander Nevsky", 1938
"Ali Zaoua: Prince of the Streets", 2000
"Ali: Fear Eats the Soul", 1974
"Alice", 1988
"Alice in the Cities", 1974
"Alice in Wonderland", 1951
"Alien", 1979
"Aliens", 1986
"Alive Inside", 2014
"All About Eve", 1950
"All About Lily Chou-Chou", 2001
"All About My Mother", 1999
"All the President's Men", 1976
"All Quiet on the Western Front", 1930
"All That Heaven Allows", 1955
"All That Jazz", 1979
"Almost Famous", 2000
"Alphaville", 1965
"Amadeus", 1984
"Amarcord", 1973
"Amazing Grace", 2006
"Amélie", 2001
"American Beauty", 1999
"The American Friend", 1977
"American Gangster", 2007
"American Graffiti", 1973
"American Hardcore", 2006
"American History X", 1998
"American Honey", 2016
"American Hustle", 2013
"American Movie", 1999
"The American President", 1995
"American Psycho", 2000
"American Splendor", 2003
"Amores Perros", 2000
"Amour", 2012
"An Actor's Revenge", 1963
"An Affair to Remember", 1957
"An American in Paris", 1951
"An American Werewolf in London", 1981
"An Angel at My Table", 1990
"An Autumn Afternoon", 1962
"An Average Little Man", 1977
"An Education", 2009
"Anatahan", 1953
"Anatomy of a Murder", 1959
"Anchorman: The Legend of Ron Burgundy", 2004
"And Now for Something Completely Different", 1971
"And Then There Were None", 1945
"Andaz Apna Apna", 1994
"Andhadhun", 2018
"Andrei Rublev", 1966
"Angel", 1937
"Angel Face", 1952
"Angel's Egg", 1985
"Angels With Dirty Faces", 1938
"Animal Farm", 1954
"Animal House", 1978
"Animal Kingdom", 2010
"Anne of Green Gables", 1985
"Annie Hall", 1977
"Anomalisa", 2015
"Another Earth", 2011
"Another Year", 2010
"Antoine and Colette", 1962
"Antonia's Line", 1995
"Antonio Das Mortes", 1969
"Antz", 1998
"Anvil! the Story of Anvil", 2008
"Aparajito", 1956
"The Apartment", 1960
"Apocalypse Now", 1979
"Apocalypto", 2006
"Apollo 13", 1995
"The Appaloosa", 1966
"Arabian Nights", 1974
"Ararat", 2002
"Araya", 1959
"Archangel", 1990
"Argo", 2012
"Ariel", 1988
"The Aristocrats", 2005
"Arizona Dream", 1993
"Army of Darkness", 1992
"Army of Shadows", 1969
"Arrival", 2016
"The Arrival of a Train at La Ciotat", 1896
"Arsenic and Old Lace", 1944
"Arthur", 1981
"The Artist", 2011
"Artists and Models", 1955
"As Good as It Gets", 1997
"As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty", 2000
"The Ascent", 1977
"Ashes and Diamonds", 1958
"The Asphalt Jungle", 1950
"The Assassin", 2015
"The Assassination of Jesse James by the Coward Robert Ford", 2007
"Assault on Precinct 13", 1976
"Assault on Precinct 13", 2005
"The Asthenic Syndrome", 1990
"At Land", 1944
"Atlantic City", 1980
"Atonement", 2007
"Attack the Gas Station!", 1999
"Au Hasard Balthazar", 1966
"Au Revoir Les Enfants", 1987
"Audition", 1999
"Autumn Sonata", 1978
"Ava", 2017
"Avatar", 2009
"The Avengers", 2012
"Avengers: Age of Ultron", 2015
"Avengers: Infinity War", 2018
"The Aviator", 2004
"Awakenings", 1990
"The Awful Truth", 1937
"Baahubali: The Beginning", 2015
"Baahubali 2: The Conclusion", 2017
"Babe", 1995
"Babel", 2006
"Babes in Arms", 1939
"Babette's Feast", 1987
"Baby", 2015
"Baby Driver", 2017
"Baby Face", 1933
"Babylon 5: The Gathering", 1993
"Bacheha-Ye Aseman", 1997
"Back to the Future", 1985
"Back to the Future Part II", 1989
"The Bad and the Beautiful", 1952
"Bad Black", 2016
"Bad Connection", 2000
"Bad Day at Black Rock", 1955
"Bad Education", 2004
"Bad Lieutenant", 1992
"The Bad Seed", 1956
"The Bad Sleep Well", 1960
"Bad Taste", 1987
"Bad Timing", 1980
"Badlands", 1973
"Bajrangi Bhaijaan", 2015
